cntry_name,continent,tiff_file,mask_file
Saudi Arabia,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81630422019269LGN00_21_2_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81630422019269LGN00_21_2_mask.tiff
Qatar,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81620422019070LGN00_5_6_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81620422019070LGN00_5_6_mask.tiff
Argentina,South America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC82310872019265LGN00_7_17_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC82310872019265LGN00_7_17_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81530132019199LGN00_3_9_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81530132019199LGN00_3_9_mask.tiff
Australia,Oceania,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81110702019337LGN00_7_28_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81110702019337LGN00_7_28_mask.tiff
United States,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80300382019073LGN00_6_18_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80300382019073LGN00_6_18_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81670202019185LGN01_10_25_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81670202019185LGN01_10_25_mask.tiff
Libya,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81830402019265LGN00_14_24_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81830402019265LGN00_14_24_mask.tiff
United States,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80270402019004LGN00_15_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80270402019004LGN00_15_16_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81690372019263LGN00_20_24_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81690372019263LGN00_20_24_mask.tiff
Indonesia,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81270602019193LGN00_5_20_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81270602019193LGN00_5_20_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81690352019215LGN00_18_8_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81690352019215LGN00_18_8_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81700142019030LGN00_8_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81700142019030LGN00_8_16_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81560182019028LGN00_6_15_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81560182019028LGN00_6_15_mask.tiff
United States,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80350272019204LGN00_9_27_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80350272019204LGN00_9_27_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81550152019085LGN00_31_21_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81550152019085LGN00_31_21_mask.tiff
Australia,Oceania,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80930762019211LGN00_18_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80930762019211LGN00_18_16_mask.tiff
Turkmenistan,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81580342019218LGN00_21_22_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81580342019218LGN00_21_22_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81580142019250LGN00_8_22_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81580142019250LGN00_8_22_mask.tiff
United States,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80310382019336LGN00_13_13_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80310382019336LGN00_13_13_mask.tiff
Yemen,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81640492019228LGN00_22_11_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81640492019228LGN00_22_11_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81660392019258LGN00_11_10_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81660392019258LGN00_11_10_mask.tiff
Mexico,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80260442019029LGN00_24_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80260442019029LGN00_24_16_mask.tiff
Iran,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81660382019194LGN00_6_10_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81660382019194LGN00_6_10_mask.tiff
Syria,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81710362019357LGN00_5_9_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81710362019357LGN00_5_9_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81550132019197LGN00_13_7_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81550132019197LGN00_13_7_mask.tiff
Mexico,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80220472019225LGN00_20_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80220472019225LGN00_20_16_mask.tiff
United States,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80350272019204LGN00_8_29_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80350272019204LGN00_8_29_mask.tiff
Oman,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81590452019193LGN00_8_14_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81590452019193LGN00_8_14_mask.tiff
Iran,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81650382019251LGN00_9_11_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81650382019251LGN00_9_11_mask.tiff
Argentina,South America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC82310862019073LGN00_8_6_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC82310862019073LGN00_8_6_mask.tiff
Kazakhstan,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81570282019083LGN00_18_15_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81570282019083LGN00_18_15_mask.tiff
Algeria,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81910402019353LGN01_28_23_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81910402019353LGN01_28_23_mask.tiff
Turkmenistan,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81630332019013LGN00_8_7_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81630332019013LGN00_8_7_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81690232019199LGN00_8_24_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81690232019199LGN00_8_24_mask.tiff
Mexico,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80220472019017LGN00_21_7_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80220472019017LGN00_21_7_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81660382019258LGN00_7_7_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81660382019258LGN00_7_7_mask.tiff
Libya,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81880412019348LGN01_25_11_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81880412019348LGN01_25_11_mask.tiff
Iran,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81660372019194LGN00_25_3_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81660372019194LGN00_25_3_mask.tiff
Algeria,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81950372019013LGN00_20_13_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81950372019013LGN00_20_13_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC82332322019183LGN00_23_7_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC82332322019183LGN00_23_7_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81690352019199LGN00_20_9_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81690352019199LGN00_20_9_mask.tiff
China,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81190292019361LGN00_21_9_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81190292019361LGN00_21_9_mask.tiff
Egypt,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81780402019262LGN00_2_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81780402019262LGN00_2_16_mask.tiff
Australia,Oceania,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81110692019065LGN00_26_23_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81110692019065LGN00_26_23_mask.tiff
Uzbekistan,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81570332019003LGN00_12_21_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81570332019003LGN00_12_21_mask.tiff
United States,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80180332019261LGN00_10_22_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80180332019261LGN00_10_22_mask.tiff
Egypt,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81750402019337LGN00_20_12_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81750402019337LGN00_20_12_mask.tiff
Libya,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81820402019338LGN00_28_15_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81820402019338LGN00_28_15_mask.tiff
Vietnam,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81240532019268LGN00_10_26_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81240532019268LGN00_10_26_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81690352019247LGN00_12_5_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81690352019247LGN00_12_5_mask.tiff
Algeria,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81920402019264LGN00_13_23_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81920402019264LGN00_13_23_mask.tiff
Canada,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80400232019015LGN00_13_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80400232019015LGN00_13_16_mask.tiff
United Kingdom,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC82020192019190LGN00_19_5_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC82020192019190LGN00_19_5_mask.tiff
Libya,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81840402019208LGN00_14_22_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81840402019208LGN00_14_22_mask.tiff
Uzbekistan,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81550332019069LGN00_21_12_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81550332019069LGN00_21_12_mask.tiff
Libya,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81830402019217LGN00_14_24_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81830402019217LGN00_14_24_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81690352019023LGN00_16_7_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81690352019023LGN00_16_7_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81570182019195LGN00_12_20_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81570182019195LGN00_12_20_mask.tiff
India,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81490462019011LGN00_25_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81490462019011LGN00_25_16_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81570182019195LGN00_9_11_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81570182019195LGN00_9_11_mask.tiff
Egypt,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81780392019214LGN00_19_1_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81780392019214LGN00_19_1_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81710342019261LGN00_20_24_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81710342019261LGN00_20_24_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81620102019070LGN00_14_6_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81620102019070LGN00_14_6_mask.tiff
Egypt,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81790392019205LGN00_21_22_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81790392019205LGN00_21_22_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81560152019060LGN00_15_6_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81560152019060LGN00_15_6_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81520202019336LGN00_11_11_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81520202019336LGN00_11_11_mask.tiff
China,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81210342019231LGN00_3_18_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81210342019231LGN00_3_18_mask.tiff
Oman,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81580452019346LGN00_19_16_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81580452019346LGN00_19_16_mask.tiff
Iran,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81650382019363LGN00_23_13_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81650382019363LGN00_23_13_mask.tiff
China,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81440322019344LGN00_7_6_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81440322019344LGN00_7_6_mask.tiff
China,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81430292019241LGN00_14_5_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81430292019241LGN00_14_5_mask.tiff
United States,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80340272019261LGN00_14_19_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80340272019261LGN00_14_19_mask.tiff
Saudi Arabia,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81640422019244LGN00_15_12_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81640422019244LGN00_15_12_mask.tiff
United States,North America,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC80300382019233LGN00_7_14_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC80300382019233LGN00_7_14_mask.tiff
Algeria,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81950372019365LGN00_28_22_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81950372019365LGN00_28_22_mask.tiff
Thailand,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81280542019360LGN00_6_19_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81280542019360LGN00_6_19_mask.tiff
Qatar,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81630432019365LGN00_10_27_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81630432019365LGN00_10_27_mask.tiff
Egypt,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81790392019077LGN00_7_4_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81790392019077LGN00_7_4_mask.tiff
Tunisia,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81910382019241LGN00_20_25_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81910382019241LGN00_20_25_mask.tiff
India,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81490472019011LGN00_17_17_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81490472019011LGN00_17_17_mask.tiff
India,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81480452019356LGN00_5_15_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81480452019356LGN00_5_15_mask.tiff
Saudi Arabia,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81640412019004LGN00_1_8_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81640412019004LGN00_1_8_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81570172019195LGN00_24_7_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81570172019195LGN00_24_7_mask.tiff
India,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81480472019084LGN00_12_22_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81480472019084LGN00_12_22_mask.tiff
Yemen,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81640492019260LGN00_22_11_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81640492019260LGN00_22_11_mask.tiff
Qatar,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81630422019205LGN00_5_27_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81630422019205LGN00_5_27_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81340212019338LGN00_22_15_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81340212019338LGN00_22_15_mask.tiff
Tunisia,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81900382019186LGN00_7_18_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81900382019186LGN00_7_18_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81560172019348LGN01_19_25_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81560172019348LGN01_19_25_mask.tiff
Iraq,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81660372019082LGN00_25_4_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81660372019082LGN00_25_4_mask.tiff
Indonesia,Asia,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81210642019199LGN00_19_5_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81210642019199LGN00_19_5_mask.tiff
Libya,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81880412019364LGN00_25_11_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81880412019364LGN00_25_11_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81330192019363LGN00_19_4_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81330192019363LGN00_19_4_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81550172019197LGN00_20_20_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81550172019197LGN00_20_20_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81690232019007LGN00_22_24_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81690232019007LGN00_22_24_mask.tiff
Algeria,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81920402019216LGN00_9_10_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81920402019216LGN00_9_10_mask.tiff
Russian Federation,Europe,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81600162019024LGN00_27_20_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81600162019024LGN00_27_20_mask.tiff
Sudan,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81750532019337LGN00_1_10_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81750532019337LGN00_1_10_mask.tiff
Libya,Africa,/home/mary-camila/Downloads/flaresat-full/dataset/flare_patches/fire_LC81830402019249LGN00_12_15_patch.tiff,/home/mary-camila/Downloads/flaresat-full/dataset/flare_mask_patches/fire_LC81830402019249LGN00_12_15_mask.tiff
